preDexNum,preId,preFormKey,evoDexNum,evoId,evoFormKey,en,es-ES,es-419,fr,it,de,zh-Hans,zh-Hant,pt-BR,ko,ja,ca,eu,da,th,tr,ro,ru,id,hi,tl,nb-NO,sv,uk,vi,pl
1,BULBASAUR,,2,IVYSAUR,,At Level 16,Al Nv.16,At Level 16,Au N. 16,Al Livello 16,Auf Lv. 16,在等级16,在等級16,No Nível 16,레벨 16,Lv.16で,Al nivell 16,At Level 16,At Level 16,At Level 16,At Level 16,At Level 16,На 16 Ур.,At Level 16,At Level 16,At Level 16,At Level 16,Vid nivå 16,At Level 16,Ở Cấp 16,Na Poziomie 16
2,IVYSAUR,,3,VENUSAUR,,At Level 32,Al Nv.32,At Level 32,Au N. 32,Al Livello 32,Auf Lv. 32,在等级32,在等級32,No Nível 32,레벨 32,Lv.32で,Al nivell 32,At Level 32,At Level 32,At Level 32,At Level 32,At Level 32,На 32 Ур.,At Level 32,At Level 32,At Level 32,At Level 32,Vid nivå 32,At Level 32,Ở Cấp 32,Na Poziomie 32
4,CHARMANDER,,5,CHARMELEON,,At Level 16,Al Nv.16,At Level 16,Au N. 16,Al Livello 16,Auf Lv. 16,在等级16,在等級16,No Nível 16,레벨 16,Lv.16で,Al nivell 16,At Level 16,At Level 16,At Level 16,At Level 16,At Level 16,На 16 Ур.,At Level 16,At Level 16,At Level 16,At Level 16,Vid nivå 16,At Level 16,Ở Cấp 16,Na Poziomie 16
5,CHARMELEON,,6,CHARIZARD,,At Level 36,Al Nv.36,At Level 36,Au N. 36,Al Livello 36,Auf Lv. 36,在等级36,在等級36,No Nível 36,레벨 36,Lv.36で,Al nivell 36,At Level 36,At Level 36,At Level 36,At Level 36,At Level 36,На 36 Ур.,At Level 36,At Level 36,At Level 36,At Level 36,Vid nivå 36,At Level 36,Ở Cấp 36,Na Poziomie 36
7,SQUIRTLE,,8,WARTORTLE,,At Level 16,Al Nv.16,At Level 16,Au N. 16,Al Livello 16,Auf Lv. 16,在等级16,在等級16,No Nível 16,레벨 16,Lv.16で,Al nivell 16,At Level 16,At Level 16,At Level 16,At Level 16,At Level 16,На 16 Ур.,At Level 16,At Level 16,At Level 16,At Level 16,Vid nivå 16,At Level 16,Ở Cấp 16,Na Poziomie 16
8,WARTORTLE,,9,BLASTOISE,,At Level 36,Al Nv.36,At Level 36,Au N. 36,Al Livello 36,Auf Lv. 36,在等级36,在等級36,No Nível 36,레벨 36,Lv.36で,Al nivell 36,At Level 36,At Level 36,At Level 36,At Level 36,At Level 36,На 36 Ур.,At Level 36,At Level 36,At Level 36,At Level 36,Vid nivå 36,At Level 36,Ở Cấp 36,Na Poziomie 36
10,CATERPIE,,11,METAPOD,,At Level 7,Al Nv.7,At Level 7,Au N. 7,Al Livello 7,Auf Lv. 7,在等级7,在等級7,No Nível 7,레벨 7,Lv.7で,Al nivell 7,At Level 7,At Level 7,At Level 7,At Level 7,At Level 7,На 7 Ур.,At Level 7,At Level 7,At Level 7,At Level 7,Vid nivå 7,At Level 7,Ở Cấp 7,Na Poziomie 7
11,METAPOD,,12,BUTTERFREE,,At Level 10,Al Nv.10,At Level 10,Au N. 10,Al Livello 10,Auf Lv. 10,在等级10,在等級10,No Nível 10,레벨 10,Lv.10で,Al nivell 10,At Level 10,At Level 10,At Level 10,At Level 10,At Level 10,На 10 Ур.,At Level 10,At Level 10,At Level 10,At Level 10,Vid nivå 10,At Level 10,Ở Cấp 10,Na Poziomie 10
13,WEEDLE,,14,KAKUNA,,At Level 7,Al Nv.7,At Level 7,Au N. 7,Al Livello 7,Auf Lv. 7,在等级7,在等級7,No Nível 7,레벨 7,Lv.7で,Al nivell 7,At Level 7,At Level 7,At Level 7,At Level 7,At Level 7,На 7 Ур.,At Level 7,At Level 7,At Level 7,At Level 7,Vid nivå 7,At Level 7,Ở Cấp 7,Na Poziomie 7
14,KAKUNA,,15,BEEDRILL,,At Level 10,Al Nv.10,At Level 10,Au N. 10,Al Livello 10,Auf Lv. 10,在等级10,在等級10,No Nível 10,레벨 10,Lv.10で,Al nivell 10,At Level 10,At Level 10,At Level 10,At Level 10,At Level 10,На 10 Ур.,At Level 10,At Level 10,At Level 10,At Level 10,Vid nivå 10,At Level 10,Ở Cấp 10,Na Poziomie 10
16,PIDGEY,,17,PIDGEOTTO,,At Level 18,Al Nv.18,At Level 18,Au N. 18,Al Livello 18,Auf Lv. 18,在等级18,在等級18,No Nível 18,레벨 18,Lv.18で,Al nivell 18,At Level 18,At Level 18,At Level 18,At Level 18,At Level 18,На 18 Ур.,At Level 18,At Level 18,At Level 18,At Level 18,Vid nivå 18,At Level 18,Ở Cấp 18,Na Poziomie 18
17,PIDGEOTTO,,18,PIDGEOT,,At Level 36,Al Nv.36,At Level 36,Au N. 36,Al Livello 36,Auf Lv. 36,在等级36,在等級36,No Nível 36,레벨 36,Lv.36で,Al nivell 36,At Level 36,At Level 36,At Level 36,At Level 36,At Level 36,На 36 Ур.,At Level 36,At Level 36,At Level 36,At Level 36,Vid nivå 36,At Level 36,Ở Cấp 36,Na Poziomie 36
19,RATTATA,,20,RATICATE,,At Level 20,Al Nv.20,At Level 20,Au N. 20,Al Livello 20,Auf Lv. 20,在等级20,在等級20,No Nível 20,레벨 20,Lv.20で,Al nivell 20,At Level 20,At Level 20,At Level 20,At Level 20,At Level 20,На 20 Ур.,At Level 20,At Level 20,At Level 20,At Level 20,Vid nivå 20,At Level 20,Ở Cấp 20,Na Poziomie 20
21,SPEAROW,,22,FEAROW,,At Level 20,Al Nv.20,At Level 20,Au N. 20,Al Livello 20,Auf Lv. 20,在等级20,在等級20,No Nível 20,레벨 20,Lv.20で,Al nivell 20,At Level 20,At Level 20,At Level 20,At Level 20,At Level 20,На 20 Ур.,At Level 20,At Level 20,At Level 20,At Level 20,Vid nivå 20,At Level 20,Ở Cấp 20,Na Poziomie 20
23,EKANS,,24,ARBOK,,At Level 22,Al Nv.22,At Level 22,Au N. 22,Al Livello 22,Auf Lv. 22,在等级22,在等級22,No Nível 22,레벨 22,Lv.22で,Al nivell 22,At Level 22,At Level 22,At Level 22,At Level 22,At Level 22,На 22 Ур.,At Level 22,At Level 22,At Level 22,At Level 22,Vid nivå 22,At Level 22,Ở Cấp 22,Na Poziomie 22
25,PIKACHU,,2026,ALOLA_RAICHU,,Use the Shiny Stone (Great),Usa Piedra Día (Súper),Use the Piedra Día (Great),Avec l’objet Pierre Éclat (Super),Con l’oggetto Pietrabrillo(Mega),Benötigt Leuchtstein (Super),使用光之石 (超级球),使用光之石 (超級球),Use Pedra Brilhante (Super),아이템 사용: 빛의돌 (슈퍼),ひかりのいし (スーパー)を 使う,Utilitza l’objecte Shiny Stone (Súper),Use the Shiny Stone (Great),Use the Shiny Stone (Great),Use the Shiny Stone (Great),Use the Parlak Taş (Great),Use the Shiny Stone (Great),Используйте Сияющий Камень Мега,Use the Shiny Stone (Great),Use the Shiny Stone (Great),Use the Shiny Stone (Great),Use the Shiny Stone (Great),Använd förmålet Ljussten (Super),Use the Близкучий Камінь (Great),Sử dụng vật phẩm Shiny Stone (Great),Use the Shiny Stone (Great)
25,PIKACHU,partner,2026,ALOLA_RAICHU,,Use the Shiny Stone (Great),Usa Piedra Día (Súper),Use the Piedra Día (Great),Avec l’objet Pierre Éclat (Super),Con l’oggetto Pietrabrillo(Mega),Benötigt Leuchtstein (Super),使用光之石 (超级球),使用光之石 (超級球),Use Pedra Brilhante (Super),아이템 사용: 빛의돌 (슈퍼),ひかりのいし (スーパー)を 使う,Utilitza l’objecte Shiny Stone (Súper),Use the Shiny Stone (Great),Use the Shiny Stone (Great),Use the Shiny Stone (Great),Use the Parlak Taş (Great),Use the Shiny Stone (Great),Используйте Сияющий Камень Мега,Use the Shiny Stone (Great),Use the Shiny Stone (Great),Use the Shiny Stone (Great),Use the Shiny Stone (Great),Använd förmålet Ljussten (Super),Use the Близкучий Камінь (Great),Sử dụng vật phẩm Shiny Stone (Great),Use the Shiny Stone (Great)
25,PIKACHU,,26,RAICHU,,Use the Thunder Stone (Great),Usa Piedra Trueno (Súper),Use the Piedra Trueno (Great),Avec l’objet Pierre Foudre (Super),Con l’oggetto Pietratuono(Mega),Benötigt Donnerstein (Super),使用雷之石 (超级球),使用雷之石 (超級球),Use Pedra do Trovão (Super),아이템 사용: 천둥의돌 (슈퍼),かみなりのいし (スーパー)を 使う,Utilitza l’objecte Thunder Stone (Súper),Use the Thunder Stone (Great),Use the Thunder Stone (Great),Use the Thunder Stone (Great),Use the Yıldırım Taşı (Great),Use the Thunder Stone (Great),Используйте Громовой Камень Мега,Use the Thunder Stone (Great),Use the Thunder Stone (Great),Use the Thunder Stone (Great),Use the Thunder Stone (Great),Använd förmålet Åsksten (Super),Use the Електро-Камінь (Great),Sử dụng vật phẩm Thunder Stone (Great),Use the Thunder Stone (Great)
25,PIKACHU,partner,26,RAICHU,,Use the Thunder Stone (Great),Usa Piedra Trueno (Súper),Use the Piedra Trueno (Great),Avec l’objet Pierre Foudre (Super),Con l’oggetto Pietratuono(Mega),Benötigt Donnerstein (Super),使用雷之石 (超级球),使用雷之石 (超級球),Use Pedra do Trovão (Super),아이템 사용: 천둥의돌 (슈퍼),かみなりのいし (スーパー)を 使う,Utilitza l’objecte Thunder Stone (Súper),Use the Thunder Stone (Great),Use the Thunder Stone (Great),Use the Thunder Stone (Great),Use the Yıldırım Taşı (Great),Use the Thunder Stone (Great),Используйте Громовой Камень Мега,Use the Thunder Stone (Great),Use the Thunder Stone (Great),Use the Thunder Stone (Great),Use the Thunder Stone (Great),Använd förmålet Åsksten (Super),Use the Електро-Камінь (Great),Sử dụng vật phẩm Thunder Stone (Great),Use the Thunder Stone (Great)
