dexNum,speciesId,preFormKey,evoFormKey,en,es-ES,es-419,fr,de,it,pr-BR,ko,ja,zh-Hans,zh-Hant,th,ca,eu,tr,ru,uk,pl,id,hi,vi,da,sv,tl
3,VENUSAUR,,mega,Activating Venusaurite,Activando Venusaurita,Activating Venusaurita,Avec l’objet Florizarrite activé,Bisaflornit aktivieren,Attivando Venusaurite,Activating Venusaurite,이상해꽃나이트[[를]] 통해 폼체인지,フシギバナイトを 有効に すれば,激活了妙蛙花进化石,活化了妙蛙花進化石,Activating Venusaurite,Activant Venusaurite,Activating Venusaurite,Activating Venusaurite,Активация Венузаврит,Activating Венузаврит,Aktywując: Venusauryt,Activating Venusaurite,Activating Venusaurite,Kích hoạt Venusaurite,Activating Venusaurite,Vid aktivering av Venusaurit,Activating Venusaurite
3,VENUSAUR,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
3,VENUSAUR,mega,,Deactivating Venusaurite,Desactivando Venusaurita,Deactivating Venusaurita,Avec l’objet Florizarrite désactivé,Bisaflornit deaktivieren,Disattivando Venusaurite,Deactivating Venusaurite,이상해꽃나이트[[를]] 통해 비활성화,フシギバナイトを 無効に すれば,禁用了妙蛙花进化石,禁用了妙蛙花進化石,Deactivating Venusaurite,Desactivant Venusaurite,Deactivating Venusaurite,Deactivating Venusaurite,Деактивация Венузаврит,Deactivating Венузаврит,Dezaktywując: Venusauryt,Deactivating Venusaurite,Deactivating Venusaurite,Vô Hiệu Hoá Venusaurite,Deactivating Venusaurite,Vid avaktivering av Venusaurit,Deactivating Venusaurite
3,VENUSAUR,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
6,CHARIZARD,,mega-x,Activating Charizardite X,Activando Charizardita X,Activating Charizardita X,Avec l’objet Dracaufite X activé,Gluraknit X aktivieren,Attivando Charizardite X,Activating Charizardite X,리자몽나이트 X[[를]] 통해 폼체인지,リザードナイトＸを 有効に すれば,激活了喷火龙进化石Ｘ,活化了噴火龍進化石Ｘ,Activating Charizardite X,Activant Charizardite X,Activating Charizardite X,Activating Charizardite X,Активация Чаризардит X,Activating Чарізардит X,Aktywując: Charizardyt X,Activating Charizardite X,Activating Charizardite X,Kích hoạt Charizardite X,Activating Charizardite X,Vid aktivering av Charizardit X,Activating Charizardite X
6,CHARIZARD,,mega-y,Activating Charizardite Y,Activando Charizardita Y,Activating Charizardita Y,Avec l’objet Dracaufite Y activé,Gluraknit Y aktivieren,Attivando Charizardite Y,Activating Charizardite Y,리자몽나이트 Y[[를]] 통해 폼체인지,リザードナイトＹを 有効に すれば,激活了喷火龙进化石Ｙ,活化了噴火龍進化石Ｙ,Activating Charizardite Y,Activant Charizardite Y,Activating Charizardite Y,Activating Charizardite Y,Активация Чаризардит Y,Activating Чарізардит Y,Aktywując: Charizardyt Y,Activating Charizardite Y,Activating Charizardite Y,Kích hoạt Charizardite Y,Activating Charizardite Y,Vid aktivering av Charizardit Y,Activating Charizardite Y
6,CHARIZARD,,gigantamax,Activating Max Mushrooms,Activando Maxisetas,Activating Maxihongo,Avec l’objet Maxi Champis activé,Dyna-Pilz aktivieren,Attivando Fungomax,Activating Max Mushrooms,다이버섯[[를]] 통해 폼체인지,ダイキノコを 有効に すれば,激活了极巨菇菇,活化了極巨菇菇,Activating Max Mushrooms,Activant Max Mushrooms,Activating Max Mushrooms,Activating Maksi Mantarlar,Активация Макс-Грибы,Activating Max Mushrooms,Aktywując: Max Mushrooms,Activating Jamur Max,Activating मैक्स मुशरूम,Kích hoạt Nấm Max,Activating Max Mushrooms,Vid aktivering av Maxsvampar,Activating Max Mushrooms
6,CHARIZARD,mega-x,,Deactivating Charizardite X,Desactivando Charizardita X,Deactivating Charizardita X,Avec l’objet Dracaufite X désactivé,Gluraknit X deaktivieren,Disattivando Charizardite X,Deactivating Charizardite X,리자몽나이트 X[[를]] 통해 비활성화,リザードナイトＸを 無効に すれば,禁用了喷火龙进化石Ｘ,禁用了噴火龍進化石Ｘ,Deactivating Charizardite X,Desactivant Charizardite X,Deactivating Charizardite X,Deactivating Charizardite X,Деактивация Чаризардит X,Deactivating Чарізардит X,Dezaktywując: Charizardyt X,Deactivating Charizardite X,Deactivating Charizardite X,Vô Hiệu Hoá Charizardite X,Deactivating Charizardite X,Vid avaktivering av Charizardit X,Deactivating Charizardite X
6,CHARIZARD,mega-y,,Deactivating Charizardite Y,Desactivando Charizardita Y,Deactivating Charizardita Y,Avec l’objet Dracaufite Y désactivé,Gluraknit Y deaktivieren,Disattivando Charizardite Y,Deactivating Charizardite Y,리자몽나이트 Y[[를]] 통해 비활성화,リザードナイトＹを 無効に すれば,禁用了喷火龙进化石Ｙ,禁用了噴火龍進化石Ｙ,Deactivating Charizardite Y,Desactivant Charizardite Y,Deactivating Charizardite Y,Deactivating Charizardite Y,Деактивация Чаризардит Y,Deactivating Чарізардит Y,Dezaktywując: Charizardyt Y,Deactivating Charizardite Y,Deactivating Charizardite Y,Vô Hiệu Hoá Charizardite Y,Deactivating Charizardite Y,Vid avaktivering av Charizardit Y,Deactivating Charizardite Y
6,CHARIZARD,gigantamax,,Deactivating Max Mushrooms,Desactivando Maxisetas,Deactivating Maxihongo,Avec l’objet Maxi Champis désactivé,Dyna-Pilz deaktivieren,Disattivando Fungomax,Deactivating Max Mushrooms,다이버섯[[를]] 통해 비활성화,ダイキノコを 無効に すれば,禁用了极巨菇菇,禁用了極巨菇菇,Deactivating Max Mushrooms,Desactivant Max Mushrooms,Deactivating Max Mushrooms,Deactivating Maksi Mantarlar,Деактивация Макс-Грибы,Deactivating Max Mushrooms,Dezaktywując: Max Mushrooms,Deactivating Jamur Max,Deactivating मैक्स मुशरूम,Vô Hiệu Hoá Nấm Max,Deactivating Max Mushrooms,Vid avaktivering av Maxsvampar,Deactivating Max Mushrooms
